conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,corpus
1781692205125489024,Sat Apr 20 14:31:38 +0000 2024,15,Tak sedikit yang heran terhadap pria asing asal India itu lantaran mengendarai mobil mewah tetapi membeli bensin eceran di toko kelontong Pertalite pula. Baca berita menarik lainnya hanya di https://t.co/7MjhJrJbpJ! Creator: Wid #detikcom #wnadibali #turisdibali #canggu https://t.co/55E1kBTCx9,1781692205125489024,https://pbs.twimg.com/ext_tw_video_thumb/1781692164486938624/pu/img/gXdImJPUiJizXMup.jpg,,in,,0,7,4,https://x.com/detikcom/status/1781692205125489024,69183155,detikcom,Tak sedikit yang heran terhadap pria asing asal India itu lantaran mengendarai mobil mewah tetapi membeli bensin eceran di toko kelontong Pertalite pula. Baca berita menarik lainnya hanya di https://t.co/7MjhJrJbpJ! Creator: Wid #detikcom #wnadibali #turisdibali #canggu https://t.co/55E1kBTCx9
1703955669261701153,Tue Sep 19 02:14:43 +0000 2023,0,Kabid Humas Polda Bali Kombes Jansen Avitus Panjaitan mengatakan setelah diberi hukuman berupa teguran dan pemahaman mengenai aturan lalu lintas WNA tersebut kembali melanjutkan perjalanan. #wna #wnadibali #wnabali #tilang #polisibali #helm #sunsetroad #kutabali #kuta #bali,1703955749427363894,,lensaRTV,in,Indonesia,0,0,0,https://x.com/lensaRTV/status/1703955749427363894,2393930923,lensaRTV,Kabid Humas Polda Bali Kombes Jansen Avitus Panjaitan mengatakan setelah diberi hukuman berupa teguran dan pemahaman mengenai aturan lalu lintas WNA tersebut kembali melanjutkan perjalanan. #wna #wnadibali #wnabali #tilang #polisibali #helm #sunsetroad #kutabali #kuta #bali
1661377702987808768,Wed May 24 14:24:45 +0000 2023,2,Besok baca liputan kami di @hariankompas ya kawans. Mau koran mau https://t.co/kE4X092PnQ silakan pilih sesuai selera. #wnadibali #illegalforeignworkers,1661377702987808768,,,in,Magelang-Jogja-Jakarta-Bogor,0,0,1,https://x.com/JGBimantaraa/status/1661377702987808768,448618907,JGBimantaraa,Besok baca liputan kami di @hariankompas ya kawans. Mau koran mau https://t.co/kE4X092PnQ silakan pilih sesuai selera. #wnadibali #illegalforeignworkers
1644568135608172544,Sat Apr 08 05:09:32 +0000 2023,0,Pelaku menyerang korban di sebuah Kafe di Denpasar Selatan. Dengan menggunakan pisau WNA itu melukai kaki kiri dari korbannya. #WNAdiBali #Bali #Denpasar https://t.co/NbqaKZYQx2,1644568135608172544,,,in,,0,0,0,https://x.com/indojurnalid/status/1644568135608172544,1642416044303355904,indojurnalid,Pelaku menyerang korban di sebuah Kafe di Denpasar Selatan. Dengan menggunakan pisau WNA itu melukai kaki kiri dari korbannya. #WNAdiBali #Bali #Denpasar https://t.co/NbqaKZYQx2
1639607147435798528,Sat Mar 25 12:36:21 +0000 2023,0,tribunnews: Tanggapi maraknya kasus turis nakal . Kemenkumham Bali mengaku sudah tindak 76 WNA nakal sejak Januari lalu total sudah 20 warga Rusia dideportasi #Kemenkumhan #WNAdiBali #Rusia #TurisdiBali https://t.co/OWIY88OuX5,1639607147435798528,,,in,"Jonggol, Indonesia",0,0,0,https://x.com/zkmachines/status/1639607147435798528,2526805074,zkmachines,tribunnews: Tanggapi maraknya kasus turis nakal . Kemenkumham Bali mengaku sudah tindak 76 WNA nakal sejak Januari lalu total sudah 20 warga Rusia dideportasi #Kemenkumhan #WNAdiBali #Rusia #TurisdiBali https://t.co/OWIY88OuX5
1639596195566989314,Sat Mar 25 11:52:49 +0000 2023,5,Tanggapi maraknya kasus turis nakal . Kemenkumham Bali mengaku sudah tindak 76 WNA nakal sejak Januari lalu total sudah 20 warga Rusia dideportasi #Kemenkumhan #WNAdiBali #Rusia #TurisdiBali https://t.co/a1PWBp43rb,1639596195566989314,,,in,Indonesia,1,0,0,https://x.com/tribunnews/status/1639596195566989314,124171593,tribunnews,Tanggapi maraknya kasus turis nakal . Kemenkumham Bali mengaku sudah tindak 76 WNA nakal sejak Januari lalu total sudah 20 warga Rusia dideportasi #Kemenkumhan #WNAdiBali #Rusia #TurisdiBali https://t.co/a1PWBp43rb
1535405369094447104,Fri Jun 10 23:35:41 +0000 2022,0,Sebelumnya #WNA Tanzania itu diamankan oleh Satpol PP Pemkab #Gianyar #Bali karena ditemukan dalam kondisi terlantar. #model #wisatabali #WNAdiBali https://t.co/53ef0NKJXZ,1535405369094447104,,,in,"Denpasar, Bali ",0,0,2,https://x.com/kanalbali/status/1535405369094447104,1116102769,kanalbali,Sebelumnya #WNA Tanzania itu diamankan oleh Satpol PP Pemkab #Gianyar #Bali karena ditemukan dalam kondisi terlantar. #model #wisatabali #WNAdiBali https://t.co/53ef0NKJXZ
1805511503598297227,Tue Jun 25 08:01:01 +0000 2024,0,Disepong Istri Orang Tog3e Gaya 69 https://t.co/YdIPJBABXn Laras Bali Viral Full Lengkap 72 https://t.co/hEdpRJMMmF Ngntot Pacar Bule Bali T0ket G3de https://t.co/akMsHvRu5D Saya Darla Toutuber Viral 4 https://t.co/TIqmOQ9JX2,1805511503598297227,,,in,,0,0,0,https://x.com/wtrc9h9879fr5/status/1805511503598297227,773302278958612480,wtrc9h9879fr5,Disepong Istri Orang Tog3e Gaya 69 https://t.co/YdIPJBABXn Laras Bali Viral Full Lengkap 72 https://t.co/hEdpRJMMmF Ngntot Pacar Bule Bali T0ket G3de https://t.co/akMsHvRu5D Saya Darla Toutuber Viral 4 https://t.co/TIqmOQ9JX2
1805131007374618869,Mon Jun 24 06:49:04 +0000 2024,0,Video bule diduga melakukan aksi perusakan sebuah rumah milik warga di Kabupaten Gianyar Bali viral di media sosial. Bule asal Alaska tersebut kesal lantaran kesal tak diizinkan memperpanjang kontrak rumah. PAA #Bule #Bali #SeputariNewsPagi #SeputariNewsRCTI https://t.co/tz1PDK7otd,1805131007374618869,https://pbs.twimg.com/media/GQ0c8nLa0AEYh_h.jpg,,in,iNews Tower Jakarta,0,0,0,https://x.com/SeputariNews/status/1805131007374618869,375995332,SeputariNews,Video bule diduga melakukan aksi perusakan sebuah rumah milik warga di Kabupaten Gianyar Bali viral di media sosial. Bule asal Alaska tersebut kesal lantaran kesal tak diizinkan memperpanjang kontrak rumah. PAA #Bule #Bali #SeputariNewsPagi #SeputariNewsRCTI https://t.co/tz1PDK7otd
1804929889277301176,Sun Jun 23 17:29:54 +0000 2024,0,cari pasangan buat swab sex kalo bisa bule #openbo #bobali #pasutribali #bulebali #partner #availbali #openbobali #3some #3somebali,1804929889277301176,,,in,,0,4,0,https://x.com/karinkaliya/status/1804929889277301176,1804921644731052032,karinkaliya,cari pasangan buat swab sex kalo bisa bule #openbo #bobali #pasutribali #bulebali #partner #availbali #openbobali #3some #3somebali
